Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
10/9/2024,257,9.46,42,2213,15.4,35,69,Bike to Work
10/9/2024,117,4.32,31,1149,13.5,35.6,26,Home from Work
