Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
8/7/2024,260,9.59,41,2053,16.8,33.5,100,Bike to Work
8/7/2024,178,6.23,31,1427,15.7,40.5,40,Home from Work
