Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
6/26/2024,214,7.85,34,1568,18,33.6,30,Bike to Work
6/26/2024,107,4.01,28,969,14.9,37.2,24,Home from Work
