Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
7/10/2024,219,8.11,38,1736,16.8,33.1,91,Bike to Work
7/10/2024,111,4.09,32,937,15.7,35.7,24,Home from Work
