Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
7/17/2024,267,9.78,36,2009,17.5,38.9,100,Bike to Work
7/17/2024,181,6.35,30,1365,16.8,38.4,39,Home from Work
