Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
8/21/2024,449,16.24,46,3297,17.7,37.4,125,Bike to Work
8/21/2024,174,6.55,32,1633,14.4,39.7,37,Home from Work
