Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
7/3/2024,174,6.5,41,1504,15.6,31.1,67,Bike to Work
7/3/2024,173,6.46,33,1585,14.7,35.2,38,Home from Work
