Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
10/2/2024,332,12.07,42,2670,16.3,30.4,99,Bike to Work
10/2/2024,183,6.49,32,1582,14.8,40.5,38,Home from Work
