Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
9/18/2024,296,11.03,31,2559,15.5,33.3,73,Bike to Work
9/18/2024,174,6.5,27,1608,14.6,34.4,38,Home from Work
