Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
9/25/2024,257,9.8,43,2296,15.4,28.7,103,Bike to Work
9/25/2024,273,10.11,33,2523,14.4,37.3,37,Home from Work
