Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
7/31/2024,254,9.51,40,2187,15.7,32,100,Bike to Work
7/31/2024,175,6.42,31,1699,13.6,34.1,36,Home from Work
