Date,Calories Burned,Distance,Temperature,Time,Average Speed,Max Speed,Elevation,Purpose
8/14/2024,262,9.2,41,1926,17.2,39.8,99,Bike to Work
8/14/2024,174,6.39,32,1490,15.4,38.1,40,Home from Work
